"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ChrisTran1997: Wanting Trump to fail makes no sense to me.He's the POTUS.That's a fact now. Him failing means we're in BIG trouble. Hop…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789251489794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brrriiieee",7,TRUE,FALSE,NA,NA
"2","RT @TuhafAmaGercek: Donald Trump, ABD Başkanlığı görevini Barack Obama'dan devraldı.

Soldaki Obama'nın devir teslim töreninden, sağdaki Do…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789234659328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sailorreihino",282,TRUE,FALSE,NA,NA
"3","And you losers on the left continue to wonder how/why Trump won? So fucking tired of scenes like this in the U.S.… https://t.co/cUGrVZdQqj",FALSE,0,NA,2017-01-20 19:58:31,TRUE,NA,"822533789230518274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DavidYDG",0,FALSE,FALSE,NA,NA
"4","RT @rogerwilko: #Trump speech is like the nation taking a giant #Rorschach test with #sniffles https://t.co/duw4YWxunB",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789209554946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samella_donavan",384,TRUE,FALSE,NA,NA
"5","KPHO Phoenix Devotes 24 Hours to Trump's Impact Along the Border: https://t.co/P9R5i77ajH",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789196881925",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bcbeat",0,FALSE,FALSE,NA,NA
"6","Who is Jared Kushner? Profile of Ivanka Trump's husband and senior adviser to the President https://t.co/b3KmR5oTGF",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789180108802",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Mr_Bovic",0,FALSE,FALSE,NA,NA
"7","RT @chelseahandler: In exchange for El Chapo, we would like to hand over Donald Trump. #Freetrade. #Inauguration",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789171781634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","para_ketersssss",1492,TRUE,FALSE,NA,NA
"8","RT @benshapiro: Donald J. Trump is 45th President. May God grant him wisdom and decency to fulfill his Constitutional duty. https://t.co/BC…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789096247296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YaBoiiJo",985,TRUE,FALSE,NA,NA
"9","‘America First’: President Donald Trump Brings the Rain in Inauguration Address https://t.co/0ECavf1Qmn https://t.co/Efeh0qYZgA",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789033385988",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","JeikerA",0,FALSE,FALSE,NA,NA
"10","Sto aspettando che la Gruber spieghi agli italiani che Trump ha detto che secondo lui la Raggi si dovrebbe dimettere

Ahahahah

#ottoemezzo",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789016539136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trxtrx1",0,FALSE,FALSE,NA,NA
"11","RT @DanJGross: Crowd count is in:
Trump 2017: 250,000
Obama 2013: 1,000,000
Obama 2009: 1,800,000
#Inauguration",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533789012393985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lunvtiiic",3296,TRUE,FALSE,NA,NA
"12","RT @antani1978: #DiMaio fa gli auguri al Presidente #Trump sperando in una collaborazione con il futuro governo M5S. Due sciagure in un uni…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788991422478",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","D_Etrusca",1,TRUE,FALSE,NA,NA
"13","RT @HuffingtonPost: Trump ripped off part of his inauguration speech from crazed supervillain Bane https://t.co/gcTzec9De0 https://t.co/RwT…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788962013184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","morales_bibi",506,TRUE,FALSE,NA,NA
"14","RT @PzFeed: BREAKING NEWS: ANTI-TRUMP PROTESTERS SMASHING WINDOWS IN DC RIGHT NOW. https://t.co/PDBSxCVxol",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788920147970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ineti",7683,TRUE,FALSE,NA,NA
"15","RT @daisyrdley: Shia LaBeouf started an anti-trump livestream that will run for FOUR years #HEWILLNOTDIVIDEUS https://t.co/eFqeHBEXhs",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788911669253",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","woodscreature",8978,TRUE,FALSE,NA,NA
"16","RT @SophiaBush: Trump promising to rape and pillage our protected lands for unsustainable energy. #Resist https://t.co/A5EuiGdLlF https://t…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788886503424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angiekins38",121,TRUE,FALSE,NA,NA
"17","RT @pattymo: TRUMP'S INNER MONOLOGUE RIGHT NOW: Now no one can make fun of me. Now no one can make fun of me. Now no one can make fun of me…",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788878204930",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TRUTHorDINGERS",157,TRUE,FALSE,NA,NA
"18","RT @ChriStylezz: You know what kind of evil Donald Trump gotta be to bring these people out the woods https://t.co/SDxULOkxJ6",FALSE,0,NA,2017-01-20 19:58:31,FALSE,NA,"822533788865531909",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JasmineHeath17",21644,TRUE,FALSE,NA,NA
